,id,title,title_lower,type,description,release_year,country_code,country,genre,seasons,age_certification,age_group,runtime,runtime_type,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
2338,tm415875,Break,break,MOVIE,"Lucie, a young dancer suffers an accident. When she wakes up from a coma, she and her partner start training for a dance show. On the way, she starts looking for her estranged father, a path that might lead her to life-changing love.",2018,FR,France,drama,0,not specified,not specified,91,long,5.7,1177,9.378,6.0
2339,ts82398,My Dead Ex,my dead ex,SHOW,"A classic, will-they-won't they romance story. Charley is living your typical teenage girl’s life. Ben, Charley’s not so secret admirer, isn’t living at all. But a little thing like death can’t stop these two teens from falling in love. Or maybe it can.",2018,US,United States of America,comedy,1,not specified,not specified,25,short,7.4,485,4.739,6.8
2340,ts78353,Misty,misty,SHOW,"When a popular anchorwoman for a prime time news show becomes the suspect in a murder case, her estranged husband - who has worked as a prosecutor in the past but now works as a public defender - decides to defend his wife.",2018,KR,"Korea, Republic of",drama,1,TV-MA,adults,71,long,8.1,620,5.594,7.9
2341,tm432838,Black Is Beltza,black is beltza,MOVIE,"New York City, October 10, 1965. A group of wooden giant figures from Pamplona, representing Basque culture and traditions, parade down the street; but the local authorities have not allowed the appearance of all of them: due to the racial prejudices that persist in many sectors of society, the participation of two black giants has been banned.",2018,ES,Spain,thriller,0,not specified,not specified,88,medium,5.8,301,3.958,6.4
2342,ts84977,Terrorism Close Calls,terrorism close calls,SHOW,"The war on terror is everywhere and anywhere. In this series, we learn about the deadly terrorist attacks that almost happened or were not as deadly as planned. Each episodes explores a recently declassified terrorist scheme intended to cause mass casualties.",2018,US,United States of America,documentation,1,not specified,not specified,48,long,5.2,712,1.837,7.2
2343,tm427143,Edge of Fear,edge of fear,MOVIE,"After being stabbed in the heart by ruthless home invaders, a man is left for dead. Now weak, outnumbered, and knife sticking from his chest, he attempts to do the impossible: save his wife from these murderers before he bleeds to death.",2018,US,United States of America,action,0,R,adults,91,long,4.4,3187,8.766,4.7
2344,ts82296,My ID is Gangnam Beauty,my id is gangnam beauty,SHOW,"This romantic comedy chronicles the life of Mirae, who has always believed that her life would be better if she were born more beautiful. After she goes under the knife, she comes out looking like the beautiful woman she has always dreamed of becoming. She feels ready to take on the world for the first time, and she falls madly in love with Seok, the perfect man. Except Seok hates people who get plastic surgery.",2018,KR,"Korea, Republic of",drama,1,TV-MA,adults,57,long,7.4,4021,30.627,7.615
2345,ts79330,Girls Incarcerated,girls incarcerated,SHOW,"An eight-part documentary series that goes behind the scenes at Madison Juvenile Correctional Facility in Indiana, where teenage girls struggle to overcome their troubled pasts and find hope for the future.",2018,GB,United Kingdom of Great Britain and Northern Ireland,reality,2,TV-MA,adults,43,long,7.2,1097,6.25,8.0
2346,tm346398,Ryan Hamilton: Happy Face,ryan hamilton: happy face,MOVIE,"Small-town import Ryan Hamilton charms New York with folksy comic observations on big-city life, hot-air ballooning and going to Disney World alone.",2017,US,United States of America,comedy,0,not specified,not specified,56,short,7.3,932,2.94,7.0
2347,tm367473,Bad Seeds,bad seeds,MOVIE,"Wael, a former street child, makes a living from small scams with his adoptive mother and partner-in-crime Monique. When this unconventional duo swindles the wrong guy, Victor, an old acquaintance of Monique now in charge of a support organization for troubled teens, they have no choice but to become his interim secretary and educator in order to redeem themselves.",2018,FR,France,comedy,0,not specified,not specified,100,long,7.3,5461,7.032,7.8
2348,ts83430,Smoking,smoking,SHOW,"Seeking a greater justice, a band of homeless assassins flays their human targets and delivers the tattooed skins as proof of a contract fulfilled.",2018,JP,Japan,crime,2,TV-MA,adults,24,short,7.4,457,2.955,8.0
